Model,Mean MSE,Final MSE,Mean Variance,Final Variance
Simple GP,0.0002917360077874654,0.0004860776476158781,0.0002476799535430716,0.0002454468146946019
GP-MOE (J=50),9.963442704667388e-05,0.00036299106548871114,0.0001652627354547018,0.0001791671603534074
