Model,Mean MSE,Final MSE
Simple GP,14.826231065294955,7.000209643159965
GP-MOE Conservative,14.36888902511954,18.27240360687296
GP-MOE Standard,13.7900042126284,27.156316502530018
GP-MOE Sensitive,13.974973707100002,35.55797288524736
